Msg Index	lot type	substrate type	material type	process step name	tool name	panel count	defectivity	processing time	job ID	elapsed time
0	FDC39B	Polyimide	aSi	LOT START PANEL	LOT START	4	-1.0	94.0	0	94.0
0	FDC39B	Polyimide	aSi	INITIAL ORBOTECH INSPECTION	Orbotech-203D	4	0.0	770.0	0	864.0
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	33.14285714285716	0	897.1428571428571
0	FDC39B	Polyimide	aSi	GATE METAL	KDF744NT-219	4	-1.0	214.0	0	1111.142857142857
0	FDC39B	Polyimide	aSi	POST GATE DEPOSITION ORBOTECH	Orbotech-203D	4	6.0	73.7142857142856	0	1184.8571428571427
0	FDC39B	Polyimide	aSi	LOT START PANEL	LOT START	4	-1.0	94.0	1	1534.0
0	FDC39B	Polyimide	aSi	INITIAL ORBOTECH INSPECTION	Orbotech-203D	4	0.0	46.0	1	1580.0
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	562.0	0	1746.8571428571427
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	90.0	1	1836.8571428571427
0	FDC39B	Polyimide	aSi	AZORES GATE PHOTO	Azores 205B	4	-1.0	113.3333333333332	0	1860.190476190476
0	FDC39B	Polyimide	aSi	GATE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	9.0	70.0	0	1930.190476190476
0	FDC39B	Polyimide	aSi	GATE ETCH, GEN II	AKT1600B-209	4	-1.0	746.285714285716	0	2676.4761904761917
0	FDC39B	Polyimide	aSi	LOT START PANEL	LOT START	4	-1.0	94.0	2	2974.0
0	FDC39B	Polyimide	aSi	INITIAL ORBOTECH INSPECTION	Orbotech-203D	4	0.0	57.0	2	3031.0
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	462.0	0	3138.4761904761917
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	528.0	2	3666.4761904761917
0	FDC39B	Polyimide	aSi	GATE ETCH ORBOTECH INSPECTION	Orbotech-203D	4	1.0	577.0	0	3715.4761904761917
0	FDC39B	Polyimide	aSi	LOT START PANEL	LOT START	4	-1.0	94.0	3	4414.0
0	FDC39B	Polyimide	aSi	GATE METAL	KDF744NT-219	4	-1.0	3030.666666666668	1	4867.523809523811
0	FDC39B	Polyimide	aSi	INITIAL ORBOTECH INSPECTION	Orbotech-203D	4	0.0	990.0	3	5404.0
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	49.5	3	5453.5
0	FDC39B	Polyimide	aSi	POST GATE DEPOSITION ORBOTECH	Orbotech-203D	4	9.0	83.0	1	5487.0
0	FDC39B	Polyimide	aSi	LOT START PANEL	LOT START	4	-1.0	94.0	4	5854.0
0	FDC39B	Polyimide	aSi	INITIAL ORBOTECH INSPECTION	Orbotech-203D	4	0.0	57.0	4	5911.0
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	957.0	1	6444.0
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	595.0	4	7039.0
0	FDC39B	Polyimide	aSi	LOT START PANEL	LOT START	4	-1.0	94.0	5	7294.0
0	FDC39B	Polyimide	aSi	GATE METAL	KDF744NT-219	4	-1.0	3030.666666666668	2	7898.190476190479
0	FDC39B	Polyimide	aSi	AZORES GATE PHOTO	Azores 205B	4	-1.0	1560.571428571428	1	8004.5714285714275
0	FDC39B	Polyimide	aSi	GATE METAL	KDF744NT-219	4	-1.0	214.0	3	8112.190476190479
0	FDC39B	Polyimide	aSi	LOT START PANEL	LOT START	4	-1.0	94.0	6	8734.0
0	FDC39B	Polyimide	aSi	IN LINE LASER REPAIR	TMP Laser Repair	4	-1.0	5066.0	0	8781.47619047619
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	90.0	0	8871.47619047619
0	FDC39B	Polyimide	aSi	STACK DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	321.0	0	9192.47619047619
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	163.0	0	9355.47619047619
0	FDC39B	Polyimide	aSi	LOT START PANEL	LOT START	4	-1.0	94.0	7	10174.0
0	FDC39B	Polyimide	aSi	INITIAL ORBOTECH INSPECTION	Orbotech-203D	4	0.0	4006.0	5	11300.0
